Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2200118,2022,12/07/2022,Naugatuck,39 APPLE BLOSSOM DR,327460.00,365000.00,0.8971,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-73.010169972 41.484398992)
222342,2022,08/24/2023,Bridgeport,911 BIRMINGHAM AVE,141600.00,360000.00,0.3933,Residential,Single Family,,,,POINT (-73.221601971 41.204381986)
220336,2022,03/09/2023,Greenwich,27 HIGH STREET,541730.00,1325000.00,0.4088,Residential,Two Family,,,,POINT (-73.650892039 41.008329983)
220465,2022,06/16/2023,Enfield,13 PILGRIM CIR,221700.00,413000.00,0.5368,Residential,Single Family,,,,POINT (-72.577277027 41.951051015)
220167,2022,04/19/2023,New Canaan,161 DANS HIGHWAY,2132340.00,3800000.00,0.5611,Residential,Single Family,,,,POINT (-73.533533995 41.17287898)
221875,2022,06/13/2023,Manchester,16 NORMAN STREET,150100.00,190367.00,0.7884,Residential,Two Family,,,,POINT (-72.509290992 41.768174987)
220052,2022,07/25/2023,Middlefield,14 WILDWOOD CIRCLE,151900.00,195000.00,0.7789,Residential,Single Family,01 - Family,PRIVATE ESTATE SALE TO FAMILY MEMBER,,POINT (-72.696493004 41.538524)
220491,2022,03/28/2023,Milford,69 RIVERDALE RD,254590.00,460000.00,0.5534,Residential,Single Family,,,,POINT (-72.994092979 41.233753013)
220020,2022,10/13/2022,Milford,71 MILFORD POINT RD,522540.00,608000.00,0.8594,Residential,Single Family,25 - Other,NOT ON OPEN MARKET,,POINT (-73.097907041 41.178184012)
22025,2022,12/05/2022,Canterbury,127 NO CANTERBURY RD,154300.00,320000.00,0.4821,Residential,Single Family,,,,POINT (-71.969013965 41.71213199)
220078,2022,04/25/2023,Essex,12 FALLS RIVER CIR,152200.00,322000.00,0.4726,Residential,Single Family,,,,POINT (-72.433399983 41.348279985)
222455,2022,09/20/2023,Bridgeport,274 BALMFORTH ST,290900.00,905000.00,0.3214,Residential,Single Family,,,,POINT (-73.230931029 41.149126008)
2200408,2022,05/26/2023,East Hartford,46-48 HIGBIE DR,117090.00,250000.00,0.4683,Residential,Two Family,07 - Change in Property,,,POINT (-72.595710006 41.778549981)
220042,2022,11/30/2022,East Windsor,225 & 226 SOUTH WATER ST,4300960.00,1400000.00,3.0721,Apartments,,08 - Part Interest,2 PARCELS;PART INTEREST IN EACH,,POINT (-72.618753031 41.913064985)
220302,2022,05/05/2023,Groton,324 THAMES ST U3,133280.00,219950.00,0.6060,Residential,Condo,10 - A Will,SALE AFTER DEATH OF RES BY EXEC DEED,,POINT (-72.082568971 41.353822016)
220159,2022,12/20/2022,Enfield,22 SUMMER ST,179900.00,300000.00,0.5996,Residential,Single Family,,,,POINT (-72.58853803 41.999765002)
22115,2022,04/06/2023,Monroe,12 BART ROAD,200800.00,450000.00,0.4462,Residential,Single Family,07 - Change in Property,,,POINT (-73.26332499 41.332910006)
220260,2022,02/28/2023,Enfield,19 BOYLE DR,160700.00,100000.00,1.6070,Residential,Single Family,25 - Other,SOLD AS IS,,POINT (-72.570433036 41.972198012)
223339,2022,06/09/2023,Newington,111 WEBSTER CT,77220.00,198000.00,0.3900,Residential,Condo,,,,POINT (-72.721752959 41.652871013)
2200083,2022,04/02/2023,New Fairfield,3 MANNING ST,120200.00,265000.00,0.4536,Residential,Single Family,25 - Other,conservators deed,,POINT (-73.524863 41.457907987)
2200213,2022,10/24/2022,Naugatuck,45 ALBION ST,129780.00,195000.00,0.6655,Residential,Single Family,,,,POINT (-73.043748966 41.495573996)
220358,2022,02/23/2023,Meriden,113 COLONY BROOK PARK,31640.00,65000.00,0.4867,Residential,Single Family,,,,POINT (-72.81498579 41.511391255)
221245,2022,07/18/2023,Fairfield,80 SILLIMAN STREET  #9,128800.00,220000.00,0.5854,Residential,Condo,,,,POINT (-73.236254963 41.170044011)
222255,2022,08/03/2023,Bridgeport,3250 FAIRFIELD AVE #119,113720.00,320000.00,0.3553,Residential,Condo,,,,POINT (-73.23341903 41.156232018)
22104,2022,01/10/2023,North Haven,29 SHERMAN TERR,231060.00,415000.00,0.5567,Residential,Single Family,,,,POINT (-72.853751002 41.350689992)
221079,2022,05/15/2023,Bridgeport,162 PRISCILLA ST # 164,141900.00,309000.00,0.4592,Residential,Two Family,,,,POINT (-73.17479097 41.212084997)
22208,2022,07/27/2023,Derby,99 ACADEMY HILL RD,353570.00,440000.00,0.8035,Residential,Single Family,,,,POINT (-73.075501962 41.321132007)
220186,2022,01/03/2023,Enfield,609 TAYLOR RD,183100.00,227000.00,0.8066,Residential,Single Family,,,,POINT (-72.516565981 42.029999994)
2200129,2022,12/21/2022,New Milford,10 WEST ARTS,68180.00,128500.00,0.5306,Residential,Condo,,SALES RATIO,,POINT (-73.412591011 41.575349011)
220550,2022,04/12/2023,Hartford,179 BROOK ST,56448.00,85000.00,0.6640,Residential,Two Family,25 - Other,Below market,,POINT (-72.682596982 41.781231017)
220234,2022,03/24/2023,Newington,289 WILLIAMSTOWN CT,64380.00,159000.00,0.4049,Residential,Condo,,,,POINT (-72.721510973 41.716751005)
220045,2022,12/02/2022,Clinton,44 OLDE ORCHARD RD,207400.00,2500.00,82.9600,Residential,Single Family,01 - Family,,,POINT (-72.558899034 41.316405996)
220064,2022,06/21/2023,Lisbon,55-59 SULLIVAN ROAD,148420.00,215000.00,0.6903,Residential,Single Family,25 - Other,B0026100/E0061300 1 SALE 2 ACCTS,,POINT (-72.022967018 41.643589983)
22025,2022,02/21/2023,Bolton,81 TOLLAND RD,107000.00,276000.00,0.3876,Residential,Single Family,,,,POINT (-72.420320023 41.802866008)
220052,2022,11/01/2022,Groton,5 EAST SHORE AVE,1197770.00,1500000.00,0.7985,Residential,Single Family,,,,POINT (-72.003437016 41.319669993)
221510,2022,12/02/2022,Manchester,65 BROAD STREET,125900.00,52000.00,2.4211,Residential,Single Family,25 - Other,FIDUCIARY DEED,,POINT (-72.535962962 41.787960009)
220001,2022,10/03/2022,New Canaan,180 PARK ST-#D101,614110.00,1050000.00,0.5848,Residential,Condo,,,,POINT (-73.494676238 41.143331072)
2200157,2022,08/07/2023,New Fairfield,52 RIDGE RD,344700.00,1000000.00,0.3447,Residential,Single Family,,,,POINT (-73.455988985 41.482982995)
220136,2022,05/09/2023,East Windsor,114 TROMLEY ST,154330.00,340000.00,0.4539,Residential,Single Family,,,,POINT (-72.59186003 41.904420979)
220270,2022,11/21/2022,Bridgeport,2625 PARK AVE UNIT #15G,70840.00,166420.00,0.4256,Residential,Condo,,,,POINT (-73.216777012 41.193259997)
220236,2022,01/11/2023,Fairfield,111 LLOYD DRIVE,365330.00,630000.00,0.5798,Residential,Single Family,,,,POINT (-73.248755985 41.201691982)
220793,2022,07/19/2023,Hamden,21 DORRANCE PL,171150.00,350000.00,0.4890,Residential,Single Family,,,,POINT (-72.913671971 41.387710008)
22046,2022,05/15/2023,Bolton,15 FRENCH RD,108400.00,151693.00,0.7146,Residential,Single Family,05 - Deed Date,DATE DEED SIGNED WAS 9/27/2021,,POINT (-72.450109977 41.75875201)
220801,2022,08/01/2023,Greenwich,RAINBOW DRIVE 0010,1031450.00,2382000.00,0.4330,Residential,Single Family,07 - Change in Property,,,POINT (-73.577328014 41.053160006)
2200237,2022,03/29/2023,New Milford,25 OLD STATE RD,245020.00,462500.00,0.5298,Residential,Single Family,,SALES RATIO,,POINT (-73.420968975 41.540941005)
220073,2022,05/01/2023,Hebron,41 OLD DANIELS LN,362880.00,710000.00,0.5110,Residential,Single Family,,,,POINT (-72.381569982 41.603218001)
22064,2022,08/02/2023,Ashford,74 LAKE WOODS LN,252070.00,435000.00,0.5794,Residential,Single Family,,,,POINT (-72.132049022 41.906264998)
220180,2022,06/22/2023,East Hampton,25 COMSTOCK TRAIL,282020.00,510000.00,0.5529,Residential,Single Family,,,,POINT (-72.442191007 41.535225008)
220088,2022,12/19/2022,East Lyme,4 KENDALL LN,251580.00,467000.00,0.5387,Residential,Single Family,,,,POINT (-72.205276011 41.355682002)
222246,2022,08/02/2023,Bridgeport,3485 OLD TOWN RD,120685.00,270000.00,0.4469,Residential,Single Family,,,,POINT (-73.234100981 41.225599014)
22089,2022,02/10/2023,Monroe,402 PEPPER STREET,353900.00,675000.00,0.5242,Residential,Single Family,,,,POINT (-73.246651037 41.341570984)
220161,2022,12/06/2022,New Haven,654 GRAND AV,329980.00,350000.00,0.9428,Commercial,,,,,POINT (-72.912186027 41.308299984)
220489,2022,04/10/2023,Branford,11 SCHOOL GROUND RD LOT 22,17000.00,31000.00,0.5484,Residential,Single Family,,MOBILE HOME ONLY,,POINT (-72.766272013 41.300633015)
220327,2022,11/30/2022,Branford,623 LONGFELLOW DR,110200.00,226900.00,0.4856,Residential,Condo,,,,POINT (-72.843014036 41.271330007)
22000038,2022,10/26/2022,Cheshire,1204 LONG HILL RD,176400.00,172000.00,1.0255,Residential,Single Family,01 - Family,,,POINT (-72.914684002 41.47156898)
220082,2022,12/21/2022,Brookfield,1 CLEARVIEW DRIVE,209100.00,350000.00,0.5974,Residential,Single Family,,,,POINT (-73.435914998 41.476345994)
220024,2022,12/05/2022,East Granby,75 SCHOOLHOUSE LANDING,161200.00,334000.00,0.4826,Residential,Condo,,,,POINT (-72.725226 41.938575014)
220729,2022,03/01/2023,Bridgeport,319 PARK AVE #323,426100.00,739000.00,0.5765,Commercial,,,,,POINT (-73.192810972 41.166772009)
22119,2022,08/01/2023,Haddam,43 OAK RIDGE DR,178770.00,490000.00,0.3648,Residential,Single Family,,,,POINT (-72.523606025 41.478944007)
220002,2022,10/07/2022,Kent,BEARDSLEY RD,325800.00,795600.00,0.4095,Vacant Land,,17 - Two Towns,PART OF LAND IN WASHINGTON,,POINT (-73.386133514 41.696229396)
220192,2022,05/11/2023,Madison,15 CENTRE VILLAGE DR,223900.00,440000.00,0.5088,Residential,Condo,,,,POINT (-72.605405018 41.28290902)
2200087,2022,12/09/2022,East Haven,55 PROSPECT PL EXT,132300.00,170000.00,0.7782,Residential,Single Family,,,,POINT (-72.875321998 41.267027995)
220660,2022,05/22/2023,Milford,12 NAUGATUCK AVE #B1,262350.00,480000.00,0.5465,Residential,Condo,,,,POINT (-73.082776029 41.192573016)
22000164,2022,03/02/2023,Cheshire,90 BARKLEDGE CT,363710.00,725000.00,0.5016,Residential,Single Family,,,,POINT (-72.926782022 41.498056004)
220175,2022,12/13/2022,Fairfield,600 RIVERSIDE DRIVE,517650.00,1250000.00,0.4141,Residential,Single Family,,,,POINT (-73.240214993 41.147488016)
220252,2022,12/01/2022,Hamden,56 RENIEW RD,169890.00,347500.00,0.4888,Residential,Single Family,,,,POINT (-72.923924966 41.38333499)
220304,2022,09/12/2023,Ledyard,829 SHEWVILLE RD,134680.00,325000.00,0.4144,Residential,Single Family,,,,POINT (-71.98917504 41.457324019)
220135,2022,11/22/2022,Hamden,153 CANNON ST,147490.00,299000.00,0.4932,Residential,Single Family,,,,POINT (-72.902624036 41.398112998)
220667,2022,06/13/2023,Hamden,123 GILLIES RD,165970.00,440000.00,0.3772,Residential,Single Family,,,,POINT (-72.905645963 41.358058984)
220196,2022,08/18/2023,Coventry,19 OLD OAK TR,141200.00,317000.00,0.4454,Residential,Single Family,,,,POINT (-72.329880964 41.78520999)
220026,2022,12/05/2022,East Granby,11 HAMILTON ROAD,190700.00,395000.00,0.4827,Residential,Single Family,,,,POINT (-72.759546038 41.922821981)
220032,2022,10/26/2022,Brookfield,114 STILLWATER CIRCLE,242080.00,450000.00,0.5379,Residential,Condo,,,,POINT (-73.411244039 41.488515009)
220095,2022,04/10/2023,North Branford,25 ALTIERE DR,195200.00,365000.00,0.5347,Residential,Single Family,,,,POINT (-72.762974991 41.334698997)
220605,2022,05/01/2023,Hartford,62 PRESTON ST,83607.00,315000.00,0.2654,Residential,Three Family,,,,POINT (-72.674965008 41.740022982)
220051,2022,03/06/2023,New Hartford,38 CEDAR LANE,150920.00,7500.00,20.1226,Residential,Single Family,01 - Family,,,POINT (-73.03367702 41.832838981)
22074,2022,03/13/2023,Middlebury,130 WHITTEMORE RD,241700.00,310000.00,0.7796,Residential,Single Family,,,,POINT (-73.086081014 41.525078002)
222400,2022,09/11/2023,Bridgeport,197 STILLMAN ST #199,145840.00,350000.00,0.4166,Residential,Two Family,,,,POINT (-73.184447006 41.192909005)
220005,2022,11/21/2022,Hartland,42 GRANVILLE RD,178610.00,300000.00,0.5953,Residential,Single Family,,,,POINT (-72.902791003 41.999324994)
220966,2022,04/11/2023,Fairfield,160 WYNN WOOD DRIVE,380100.00,650000.00,0.5847,Residential,Single Family,,,,POINT (-73.239722975 41.207322986)
220141,2022,03/14/2023,Madison,46 ALLISON DR,497000.00,845000.00,0.5881,Residential,Single Family,,,,POINT (-72.633476012 41.289738007)
220169,2022,12/13/2022,Fairfield,256 REEF ROAD,328090.00,500000.00,0.6561,Residential,Single Family,,,,POINT (-73.255569969 41.137781982)
221889,2022,06/21/2023,Manchester,143 MIDDLE TURNPIKE WEST,210600.00,500000.00,0.4212,Commercial,,,,,POINT (-72.53062897 41.782767001)
220721,2022,06/27/2023,Hamden,104 JACKSON RD,179830.00,352000.00,0.5108,Residential,Single Family,,,,POINT (-72.895851961 41.360931001)
220459,2022,01/23/2023,Fairfield,842 SOUTH PINE CREEK ROAD,316540.00,530000.00,0.5972,Residential,Single Family,,,,POINT (-73.267920033 41.129047997)
2200034,2022,03/01/2023,Killingworth,209 ROAST MEAT HILL ROAD,547050.00,1340000.00,0.4082,Residential,Single Family,,,,POINT (-72.546179999 41.353662005)
221166,2022,06/26/2023,Fairfield,125 KATONA DRIVE UNIT 4A6,180390.00,265000.00,0.6807,Residential,Condo,01 - Family,,,POINT (-73.248059029 41.178652016)
220183,2022,05/04/2023,Killingly,14 BALLOUVILLE RD,88900.00,232500.00,0.3823,Residential,Two Family,,,,POINT (-71.880441975 41.866035006)
22272,2022,07/24/2023,Montville,4 WILLIAMS RD,163030.00,310000.00,0.5259,Residential,Single Family,,,,POINT (-72.19124898 41.476207986)
22060,2022,08/15/2023,Barkhamsted,93 N CANTON RD,113540.00,273000.00,0.4158,Residential,Single Family,07 - Change in Property,"1956 RANCH, 996 SFLA , 1.21 AC  SUBSTANTIAL WORK COMPLETED AFTER 10/1/2022 AND BEFORE SALE",,POINT (-72.911796017 41.92646199)
220096,2022,11/21/2022,Groton,454 FLANDERS RD,231140.00,280000.00,0.8255,Residential,Single Family,,,,POINT (-72.005858967 41.363241012)
220732,2022,07/13/2023,Meriden,48 GRACEY AVE,74270.00,6130000.00,0.0121,Commercial,,25 - Other,MULTIPLE PARCELS MAY INCLUDE PERSONAL PROPERTY,,POINT (-72.793973029 41.55072298)
220072,2022,10/28/2022,Hamden,79 FIRST ST,137200.00,195000.00,0.7035,Residential,Single Family,14 - Foreclosure,,,POINT (-72.937747982 41.342683011)
220541,2022,03/13/2023,Fairfield,19 FAIRWAY GREEN,342300.00,580000.00,0.5901,Residential,Single Family,,,,POINT (-73.231478032 41.185347019)
220316,2022,08/31/2023,Madison,73 SYLVAN RD,132300.00,250000.00,0.5292,Vacant Land,,07 - Change in Property,improved after 10/1/2022,,POINT (-72.567346432 41.281420857)
220149,2022,06/02/2023,East Windsor,3B PASCO DR,72900.00,179900.00,0.4052,Residential,Condo,,,,POINT (-72.612460988 41.908892012)
220006,2022,11/05/2022,Bethlehem,68 NETTLETON HOLLOW RD,307400.00,1075000.00,0.2860,Residential,Single Family,07 - Change in Property,NEW DWELLING,,POINT (-73.251858965 41.61455398)
22045,2022,04/18/2023,Columbia,ROUTE 66,40530.00,232000.00,0.1747,Vacant Land,,28 - Use Assessment,LAND SALE - PA490,,POINT (-72.312320451 41.694019139)
220075,2022,07/17/2023,Lisbon,45 ROSS HILL ROAD,315000.00,696900.00,0.4520,Residential,Single Family,,B0025400,,POINT (-71.999334997 41.610150003)
2200146,2022,02/01/2023,East Haven,48 VAN HORN DR,131740.00,80000.00,1.6468,Residential,Single Family,08 - Part Interest,,,POINT (-72.846006962 41.310137003)
220076,2022,12/15/2022,North Branford,373 REEDS GAP RD,198600.00,391250.00,0.5076,Residential,Single Family,,,,POINT (-72.75399001 41.419729004)
2200459,2022,09/01/2023,New Milford,17 WHITE SWAN DR,160400.00,471000.00,0.3405,Residential,Single Family,07 - Change in Property,CHANGE IN PROPERTY AFTER ASSESSMENT DATE,,POINT (-73.433176965 41.607029001)
221973,2022,06/01/2023,Bridgeport,396 INTERVALE RD,140300.00,335000.00,0.4188,Residential,Single Family,,,,POINT (-73.159096024 41.227320992)
22191,2022,06/16/2023,Derby,2-8 THIRD ST,392000.00,850000.00,0.4611,Apartments,,,,,POINT (-73.088899118 41.320501132)
220464,2022,03/16/2023,Branford,102 SHORT BEACH RD,128900.00,221100.00,0.5829,Residential,Single Family,07 - Change in Property,VERY POOR CONDITION/TOTALLY INHABITABLE,,POINT (-72.830924984 41.267228993)
221978,2022,06/01/2023,Bridgeport,448 WOOD AVE #450,159417.00,400000.00,0.3985,Residential,Three Family,,,,POINT (-73.208230991 41.179000997)
222113,2022,09/22/2023,Manchester,25 EVA DRIVE,153100.00,300000.00,0.5103,Residential,Single Family,25 - Other,TRUSTEES DEED,,POINT (-72.493593028 41.789229993)
221091,2022,09/20/2023,Milford,40 SOUNDVIEW AVE,236070.00,520000.00,0.4539,Residential,Single Family,,,,POINT (-73.007425989 41.219711984)
220496,2022,01/04/2023,Bridgeport,84 SUCCESS AVE #86,188824.00,310000.00,0.6091,Residential,Three Family,,,,POINT (-73.157963964 41.194325002)
220026,2022,10/13/2022,Fairfield,340 OLDFIELD ROAD,337260.00,730000.00,0.4620,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.257823025 41.136694011)
220049,2022,10/18/2022,Hamden,290 TREADWELL ST U1601,69300.00,175000.00,0.3960,Residential,Condo,,,,POINT (-72.922676985 41.352556013)
220030,2022,10/25/2022,Brookfield,17 CHEROKEE DR,345570.00,555000.00,0.6226,Residential,Single Family,,,,POINT (-73.356541979 41.466676002)
220313,2022,01/20/2023,Milford,21 TYLER RD,258890.00,418000.00,0.6193,Residential,Single Family,,,,POINT (-73.007367986 41.234235014)
220111,2022,04/12/2023,Coventry,1485 MAIN ST,121300.00,290000.00,0.4182,Residential,Single Family,,,,POINT (-72.307541013 41.773867012)
220172,2022,12/28/2022,Enfield,10 VAIL ESTATES,97400.00,170000.00,0.5729,Residential,Condo,,,,POINT (-72.592499115 41.986060522)
2200412,2022,07/28/2023,New Milford,325 WILLOW SPRINGS,97230.00,167000.00,0.5822,Residential,Condo,,SALES RATIO,,POINT (-73.42222098 41.543374984)
220104,2022,10/12/2022,Harwinton,605 LITCHFIELD RD,153150.00,330000.00,0.4640,Residential,Single Family,,,,POINT (-73.111555964 41.761740996)
2200410,2022,07/05/2023,Naugatuck,185 NORTH HOADLEY ST,134890.00,190000.00,0.7099,Residential,Single Family,,,,POINT (-73.065282997 41.499654013)
220156,2022,06/22/2023,Clinton,14 FOUNDERS RD,109800.00,285000.00,0.3852,Residential,Condo,,,,POINT (-72.508404019 41.275399002)
2200076,2022,03/15/2023,New Fairfield,14 POSSUM DR,188800.00,390000.00,0.4841,Residential,Single Family,,,,POINT (-73.476940977 41.459661984)
220343,2022,02/24/2023,New Haven,153 CHAPEL ST,157640.00,265000.00,0.5948,Commercial,,,,,POINT (-72.897871999 41.304239999)
220843,2022,07/05/2023,Milford,559 SWANSON CRES,147200.00,300000.00,0.4906,Residential,Condo,,,,POINT (-73.03437542 41.245829022)
220289,2022,08/10/2023,East Lyme,9 MACKINNON PL,400190.00,700000.00,0.5717,Residential,Single Family,,,,POINT (-72.233174002 41.361058993)
22000361,2022,08/24/2023,Cheshire,28 IRIS CT,230480.00,474900.00,0.4853,Residential,Single Family,,,,POINT (-72.922905978 41.484352011)
22076,2022,09/01/2023,Deep River,62 LORDS LA,195020.00,550000.00,0.3545,Residential,Single Family,,,,POINT (-72.437014008 41.379652988)
220217,2022,12/23/2022,New Haven,210 WINTHROP AV,200970.00,280000.00,0.7177,Residential,Three Family,,,,POINT (-72.94845997 41.308119982)
220917,2022,08/22/2023,Hamden,65 VALLEY VIEW DR U65,97860.00,240000.00,0.4077,Residential,Condo,,,,POINT (-72.912365986 41.398211988)
220818,2022,07/24/2023,Hartford,159 VINE ST,43329.00,283000.00,0.1531,Residential,Single Family,,,,POINT (-72.688772014 41.784608002)
220405,2022,03/09/2023,Hamden,201 BLUE HILLS AVE,150710.00,325000.00,0.4637,Residential,Single Family,,,,POINT (-72.930281969 41.360742995)
2200456,2022,06/22/2023,East Hartford,10 MONTAUK RD,18340.00,40000.00,0.4585,Residential,Condo,04 - Correcting Deed,MOBILE HOME,,POINT (-72.636041407 41.734399962)
22019,2022,03/01/2023,Marlborough,66 WEST RD,208650.00,365000.00,0.5716,Residential,Single Family,,,,POINT (-72.478379036 41.656405996)
2200063,2022,02/09/2023,New Fairfield,40 LAKE DR N,247800.00,615000.00,0.4029,Residential,Single Family,,,,POINT (-73.457434025 41.490060003)
220004,2022,10/03/2022,East Granby,90 HOLCOMB STREET,324600.00,660000.00,0.4918,Residential,Single Family,,,,POINT (-72.75081 41.937208009)
220642,2022,05/09/2023,Hartford,584 FRANKLIN AVE,303660.00,500000.00,0.6073,Commercial,,,,,POINT (-72.674150035 41.732522017)
220555,2022,05/31/2023,Greenwich,351 PEMBERWICK ROAD #606,437080.00,792000.00,0.5519,Residential,Condo,,,,POINT (-73.665094 41.035020981)
220013,2022,03/16/2023,Andover,10 WEBSTER LN,151480.00,365000.00,0.4150,Residential,Single Family,07 - Change in Property,THIS IS A NEW CONSTRUCTION THAT DID NOT HAVE 100% COMPLETE AT TIME OF SALE,,POINT (-72.420851161 41.732158515)
220647,2022,08/08/2023,Branford,87 IVY ST,189400.00,425000.00,0.4456,Residential,Two Family,,,,POINT (-72.813696988 41.286301008)
220478,2022,06/23/2023,Enfield,92 S RIVER ST,94800.00,215000.00,0.4409,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #220189,POINT (-72.602553997 41.993768002)
2200333,2022,06/06/2023,New Milford,5 RIVER RD,182640.00,340000.00,0.5372,Residential,Single Family,,SALES RATIO,,POINT (-73.448602014 41.594717997)
2200337,2022,04/21/2023,East Hartford,171 OAK ST,147900.00,95000.00,1.5568,Residential,Single Family,25 - Other,NURSING HOME,,POINT (-72.578915019 41.759737009)
220264,2022,01/27/2023,Greenwich,34 BRUCE PARK DRIVE,1447530.00,4050000.00,0.3574,Residential,Single Family,07 - Change in Property,,,POINT (-73.609215796 41.022996275)
2200517,2022,09/11/2023,Naugatuck,23 DUNN AVENUE,158620.00,200100.00,0.7927,Residential,Three Family,11 - Court Order,FORECLOSURE BY SALE - COMMITTEE DEED,,POINT (-73.062140035 41.492402997)
221331,2022,10/03/2022,Manchester,5 RADDING STREET,183800.00,259000.00,0.7096,Residential,Single Family,25 - Other,ADMINISTRATOR DEED,,POINT (-72.508163039 41.786525991)
221148,2022,06/22/2023,Fairfield,409 PEQUOT AVENUE,1036490.00,1800000.00,0.5758,Commercial,,,,,POINT (-73.28450103 41.135585001)
220034,2022,10/13/2022,Hamden,499 RIVER RD,118300.00,268500.00,0.4405,Residential,Single Family,,,,POINT (-72.911843962 41.439075988)
220067,2022,11/23/2022,East Lyme,97 W. MAIN ST. #59,203000.00,330000.00,0.6151,Residential,Condo,,,,POINT (-72.21728996 41.322687017)
220103,2022,11/14/2022,New Haven,155 BUTLER ST,111230.00,147900.00,0.7520,Residential,Single Family,,,,POINT (-72.929188969 41.334134015)
222410,2022,09/13/2023,Bridgeport,39 LEE AVE,107400.00,265000.00,0.4053,Residential,Single Family,07 - Change in Property,,RENOVATIONS PER MLS - SEE PREVIOUS SALE #221077,POINT (-73.205518021 41.169190021)
2200123,2022,12/12/2022,Naugatuck,56 PHOENIX AVE,172760.00,272500.00,0.6339,Residential,Single Family,,,,POINT (-73.046681962 41.49097099)
22008,2022,11/08/2022,Deep River,103 BUSHY HILL RD,175350.00,157200.00,1.1154,Residential,Single Family,14 - Foreclosure,,,POINT (-72.473525997 41.355088019)
221215,2022,07/11/2023,Fairfield,14 APPLEGATE ROAD,313600.00,715000.00,0.4386,Residential,Single Family,,,,POINT (-73.240663006 41.194859013)
2200284,2022,03/15/2023,East Hartford,35 STANLEY ST,139110.00,222500.00,0.6252,Residential,Single Family,,,,POINT (-72.639473012 41.777685011)
221471,2022,11/21/2022,Manchester,395 MAIN STREET UNIT 2,80500.00,133000.00,0.6052,Residential,Condo,,,,POINT (-72.520876961 41.779448982)
2200168,2022,01/09/2023,Naugatuck,111 WOOSTER ST #2C,84560.00,133000.00,0.6358,Residential,Condo,,,,POINT (-73.036098971 41.499175993)
22186,2022,07/03/2023,Monroe,23 PRESTIGE PLACE,93700.00,579900.00,0.1615,Residential,Condo,07 - Change in Property,,,POINT (-73.206797 41.331612)
220244,2022,06/28/2023,East Lyme,81 E PATTAGANSETT RD #50,91420.00,215000.00,0.4252,Residential,Condo,,,,POINT (-72.202553988 41.329117991)
222036,2022,08/28/2023,Manchester,23 MCKEE STREET,144300.00,289000.00,0.4993,Residential,Single Family,25 - Other,FIDUCIARY DEED,,POINT (-72.54362201 41.773267999)
2200056,2022,11/08/2022,Cheshire,94 VISTA TERR,297370.00,425000.00,0.6996,Residential,Single Family,,,,POINT (-72.874226986 41.532416987)
220221,2022,12/27/2022,New Haven,46 ELIZABETH ST,127680.00,130000.00,0.9822,Residential,Single Family,07 - Change in Property,,PER MLS NEEDS COMPLETE REPAIR. EXTENSIVE DAMAGE DONE BY TENANT.,POINT (-72.937056978 41.334796018)
220110,2022,03/07/2023,East Hampton,5 7 9 OLD CLARK HILL RD,156620.00,325000.00,0.4819,Residential,Single Family,24 - Plottage,MULTIPLE PARCELS,,POINT (-72.516157362 41.597341347)
223435,2022,07/27/2023,Newington,80 CARR AVE,109240.00,228000.00,0.4791,Residential,Single Family,14 - Foreclosure,,,POINT (-72.75124896 41.670470998)
220609,2022,08/22/2023,Enfield,255 PEARL ST,185700.00,291000.00,0.6381,Residential,Single Family,14 - Foreclosure,,PURCHASE OF A FORECLOSED PROPERTY,POINT (-72.597559976 41.986075007)
2200363,2022,06/28/2023,New Milford,98 ASPETUCK VILLAGE,57960.00,82000.00,0.7068,Residential,Condo,,,,POINT (-73.419835993 41.591558019)
22006,2022,12/28/2022,Chaplin,258 PHOENIXVILLE RD,135500.00,280000.00,0.4839,Residential,Single Family,,,,POINT (-72.127433024 41.785502979)
22100,2022,02/27/2023,Darien,18 LOCUST HILL ROAD,661990.00,1700000.00,0.3894,Residential,Single Family,,,,POINT (-73.468522026 41.073262995)
22119,2022,08/15/2023,Beacon Falls,339 RIMMON HILL ROAD,322790.00,549000.00,0.5879,Residential,Single Family,07 - Change in Property,LOT SPLIT,,POINT (-73.083706001 41.417494012)
220099,2022,10/28/2022,Milford,17 WAY ST,309810.00,552000.00,0.5612,Residential,Single Family,,,,POINT (-73.080215022 41.207234013)
222313,2022,08/17/2023,Bridgeport,162 MANILA ST,103300.00,240000.00,0.4304,Residential,Single Family,,,,POINT (-73.157845025 41.201698017)
2200199,2022,06/08/2023,Bloomfield,23 EMERSON ST,115010.00,255000.00,0.4510,Residential,Single Family,,,,POINT (-72.707211027 41.820091993)
220562,2022,03/24/2023,Fairfield,218 NICHOLS STREET,353010.00,752000.00,0.4694,Residential,Single Family,,,,POINT (-73.260005002 41.138056992)
220201,2022,05/22/2023,Avon,67 SOMERSET DRIVE,273460.00,475000.00,0.5757,Residential,Single Family,,,,POINT (-72.854174959 41.764793015)
